slug,contentId,ist_laenge,soll_laenge,meta_description,editor_url
/blog/einkaufssoftware-4-bereiche-fuer-optimierung,113591478736,480,135,"Vier Bereiche, in denen Einkaufssoftware den Beschaffungsprozess messbar verbessert: Bedarf, Freigabe, Bestellung und Rechnungsprüfung.",https://app.hubspot.com/blog/145132698/editor/113591478736/settings
/blog/einkaufssoftware-vorteile-unternehmen,113590911711,477,139,"Vier konkrete Vorteile von Einkaufssoftware für Mittelständler: weniger Aufwand, klare Budgets, schnellere Freigaben und volle Transparenz.",https://app.hubspot.com/blog/145132698/editor/113590911711/settings
/blog/hivebuy-im-procurement-summit-magazin,113591478739,468,128,"Wie Thermondo den Einkauf mit Hivebuy neu aufstellt: dezentrale Bedarfe, zentrale Kontrolle und deutlich kürzere Freigabezeiten.",https://app.hubspot.com/blog/145132698/editor/113591478739/settings
/blog/3-herausforderungen-bei-der-einfuehrung-von-einkaufssoftware,113598035696,440,133,"Die drei häufigsten Hürden bei der Einführung von Einkaufssoftware und wie Sie sie mit Planung, Schulung und Change Management lösen.",https://app.hubspot.com/blog/145132698/editor/113598035696/settings
/blog/wie-waehle-ich-die-richtige-einkaufssoftware-5-wichtige-kriterien-zur-auswahl,113590911712,407,128,"Einkaufssoftware auswählen: fünf Kriterien von Integrationen bis Einführungsdauer, mit denen Sie Anbieter belastbar vergleichen.",https://app.hubspot.com/blog/145132698/editor/113590911712/settings
/blog/beschaffung-aktuell-wir-sind-in-tausende-von-systemen-einfach-zu-integrieren,113590911713,313,139,Beschaffung Aktuell im Gespräch mit Hivebuy: warum offene Integrationen der Schlüssel zum digitalen indirekten Einkauf im Mittelstand sind.,https://app.hubspot.com/blog/145132698/editor/113590911713/settings
/blog/amazon-business-integration-is-live,113590911710,274,134,"Amazon Business in Hivebuy: Produkte im gewohnten Interface bestellen, mit Budgetprüfung und Freigabe-Workflow. So richten Sie es ein.",https://app.hubspot.com/blog/145132698/editor/113590911710/settings
/blog/die-kosten-eines-schlechten-einkaufsprozesses,113590911714,273,139,"Unsichtbare Kosten schlechter Einkaufsprozesse: Maverick Buying, manuelle Freigaben und fehlende Transparenz. So beziffern Sie den Schaden.",https://app.hubspot.com/blog/145132698/editor/113590911714/settings
/blog/die-besten-einkaufssoftwares,113590911709,226,135,"Die besten Einkaufssoftwares für den indirekten Einkauf im Vergleich: Funktionen, Zielgruppen und Auswahlkriterien für den Mittelstand.",https://app.hubspot.com/blog/145132698/editor/113590911709/settings
/blog/procurementheroes-folge-1,350622530749,226,135,ProcurementHeroes Folge 1 mit Franziska Prüger: warum wir den Podcast gestartet haben und was Einkaufsteams aus dem Gespräch mitnehmen.,https://app.hubspot.com/blog/145132698/editor/350622530749/settings
/blog/procurementheroes-folge-2,380043067585,226,133,Einkauf im sozialen Sektor: warum Versorgungssicherheit dort wichtiger ist als Einsparungen. ProcurementHeroes Folge 2 zum Nachhören.,https://app.hubspot.com/blog/145132698/editor/380043067585/settings
/blog/lieferkettengesetz-deutschland,113590911715,169,134,"Lieferkettengesetz in Deutschland: welche Pflichten für wen gelten, welche Nachweise nötig sind und wie Software die Umsetzung stützt.",https://app.hubspot.com/blog/145132698/editor/113590911715/settings
/blog/software-beschaffung-hr-bereich,433840379093,169,136,"Software-Beschaffung im HR-Bereich: Bedarfe bündeln, Verträge im Blick behalten und Schatten-IT vermeiden. Leitfaden für Einkauf und HR.",https://app.hubspot.com/blog/145132698/editor/433840379093/settings
/blog/ki-im-einkauf,421710951650,168,131,"KI im Einkauf: Anwendungsfälle von Preisvergleich bis Rechnungsprüfung, realistischer Nutzen und was Sie für den Einstieg brauchen.",https://app.hubspot.com/blog/145132698/editor/421710951650/settings
